Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,HTHG,HTAG,HTR,PSH,PSD,PSA
SP1,2005-01-16,Ath Bilbao,Espanol,1,1,D,2.0,3.25,3.25,,,,,,,1,1,D,,,
SP1,2005-01-16,Albacete,Santander,0,0,D,2.0,3.25,3.25,,,,,,,0,0,D,,,
SP1,2005-01-16,La Coruna,Numancia,1,1,D,1.44,3.75,6.5,,,,,,,0,0,D,,,
SP1,2005-01-22,Ath Bilbao,Osasuna,4,3,H,1.83,3.25,3.75,,,,,,,0,1,A,,,
SP1,2005-01-22,Barcelona,Santander,3,0,H,1.25,5.5,10.0,,,,,,,1,0,H,,,
SP1,2005-01-23,Real Madrid,Mallorca,3,1,H,1.22,6.0,11.0,,,,,,,1,1,D,,,
SP1,2005-01-23,Malaga,Ath Madrid,1,0,H,2.37,3.2,2.6,,,,,,,0,0,D,,,
SP1,2005-01-23,Villarreal,Valencia,3,1,H,2.4,3.1,2.62,,,,,,,2,0,H,,,
SP1,2005-01-23,La Coruna,Espanol,4,1,H,2.0,3.25,3.25,,,,,,,2,1,H,,,
SP1,2005-01-23,Getafe,Zaragoza,3,0,H,2.25,3.2,2.8,,,,,,,3,0,H,,,
SP1,2005-01-23,Betis,Numancia,4,0,H,1.44,3.75,6.5,,,,,,,3,0,H,,,
SP1,2005-01-23,Albacete,Sevilla,0,2,A,2.4,3.1,2.62,,,,,,,0,2,A,,,
SP1,2005-01-23,Levante,Sociedad,2,1,H,2.25,3.2,2.8,,,,,,,1,0,H,,,
SP1,2005-01-29,Ath Madrid,Albacete,3,1,H,1.61,3.39,5.0,,,,,,,3,1,H,,,
SP1,2005-01-29,Sevilla,Barcelona,0,4,A,3.0,3.25,2.29,,,,,,,0,0,D,,,
SP1,2005-01-30,Espanol,Betis,2,2,D,2.1,3.2,3.1,,,,,,,1,0,H,,,
SP1,2005-01-30,Mallorca,Getafe,3,1,H,2.0,3.0,3.5,,,,,,,2,1,H,,,
SP1,2005-01-30,Numancia,Real Madrid,1,2,A,6.0,3.5,1.5,,,,,,,0,0,D,,,
SP1,2005-01-30,Osasuna,La Coruna,1,1,D,2.37,3.2,2.6,,,,,,,0,0,D,,,
SP1,2005-01-30,Santander,Levante,2,2,D,2.1,3.1,3.2,,,,,,,1,0,H,,,
SP1,2005-02-20,Villarreal,Ath Madrid,3,2,H,1.9,3.3,4.0,,,,,,,0,2,A,,,
SP1,2005-02-26,Numancia,Barcelona,1,1,D,7.0,3.75,1.5,,,,,,,1,0,H,,,
SP1,2005-02-26,La Coruna,Real Madrid,2,0,H,3.0,3.25,2.3,,,,,,,2,0,H,,,
SP1,2005-02-26,Espanol,Albacete,2,1,H,1.57,3.4,5.5,,,,,,,2,0,H,,,
SP1,2005-02-26,Mallorca,Levante,1,2,A,1.83,3.25,3.75,,,,,,,0,0,D,,,
SP1,2005-02-27,Ath Madrid,Sociedad,1,0,H,1.72,3.25,4.33,,,,,,,1,0,H,,,
