Date,HomeTeam,AwayTeam,FTHG,FTAG,Result,EloHomeBefore,EloAwayBefore,EloDiff,HomeWin,Draw,AwayWin,Weight
2020-10-04,Levante,Real Madrid,0,2,A,1557.7420578312772,1810.3716730142678,-162.62961518299062,0,0,1,3.458044454559468e-05
2020-10-17,Granada,Sevilla,1,0,H,1565.1964296906958,1722.2631925978926,-67.06676290719679,1,0,0,3.7170318684126734e-05
2020-10-17,Real Madrid,Cadiz,0,1,A,1818.8219040140368,1454.7191584126692,454.1027456013676,0,0,1,3.7170318684126734e-05
2020-10-17,Getafe,Barcelona,1,0,H,1586.3517499389886,1816.131090321346,-139.7793403823573,1,0,0,3.7170318684126734e-05
2020-10-17,Celta,Ath Madrid,0,2,A,1514.503705655861,1736.292805286718,-131.78909963085698,0,0,1,3.7170318684126734e-05
2020-10-18,Alaves,Elche,0,2,A,1475.6495304924565,1499.2742097102102,66.37532078224626,0,0,1,3.737739513435204e-05
2020-10-18,Eibar,Osasuna,0,0,D,1502.9354492366779,1549.680704775675,43.25474446100293,0,1,0,3.737739513435204e-05
2020-10-18,Villarreal,Valencia,2,1,H,1634.9252750423038,1575.940890158693,148.9843848836108,1,0,0,3.737739513435204e-05
2020-10-18,Huesca,Valladolid,2,2,D,1502.191456928757,1478.3010969707857,113.89035995797121,0,1,0,3.737739513435204e-05
2020-10-18,Betis,Sociedad,0,3,A,1539.9852016988484,1600.0082529997244,29.976948699124023,0,0,1,3.737739513435204e-05
2020-10-18,Ath Bilbao,Levante,2,0,H,1537.1992707497302,1549.2918268315082,77.90744391822204,1,0,0,3.737739513435204e-05
2020-10-23,Elche,Valencia,2,1,H,1517.1055010427401,1567.0058042849148,40.09969675782531,1,0,0,3.843021085526093e-05
2020-10-24,Ath Madrid,Betis,2,0,H,1745.861059830728,1523.6941947651692,312.1668650655588,1,0,0,3.864430618527261e-05
2020-10-24,Sevilla,Eibar,0,1,A,1704.4031237108857,1501.0775806043998,293.32554310648584,0,0,1,3.864430618527261e-05
2020-10-24,Osasuna,Ath Bilbao,1,0,H,1551.538573407953,1548.8909994551673,92.6475739527857,1,0,0,3.864430618527261e-05
2020-10-24,Barcelona,Real Madrid,1,3,A,1795.4021407600308,1790.8691399436716,94.53300081635916,0,0,1,3.864430618527261e-05
2020-10-25,Getafe,Granada,0,1,A,1607.0806995003038,1583.0564985777028,114.02420092260104,0,0,1,3.8859594243851624e-05
2020-10-25,Cadiz,Villarreal,0,0,D,1482.6719224830345,1643.860360916082,-71.18843843304762,0,1,0,3.8859594243851624e-05
2020-10-25,Sociedad,Huesca,4,1,H,1616.2992599334036,1497.4432801121347,208.85597982126887,1,0,0,3.8859594243851624e-05
2020-10-25,Valladolid,Alaves,0,2,A,1483.0492737874079,1457.8182391599266,115.23103462748122,0,0,1,3.8859594243851624e-05
2020-10-26,Levante,Celta,1,1,D,1537.600098126071,1504.935451111851,122.66464701422001,0,1,0,3.907608167570808e-05
2020-10-30,Eibar,Cadiz,0,2,A,1526.3984537469364,1485.7030740404446,130.69537970649185,0,0,1,3.9954159330075735e-05
2020-10-31,Ath Bilbao,Sevilla,2,1,H,1537.7987290558463,1679.082250568349,-51.28352151250283,1,0,0,4.01767446018384e-05
2020-10-31,Real Madrid,Huesca,4,1,H,1809.8526376034433,1490.5111397145854,409.34149788885793,1,0,0,4.01767446018384e-05
